iter	RMSE
0	0.4281855761
1	0.3969587305
2	0.3682066964
3	0.3422665246
4	0.3203553999
5	0.2996905975
6	0.2816596901
7	0.2658904894
8	0.2513712116
9	0.2388557012
10	0.22745928
11	0.2175409516
12	0.2073252589
13	0.1979984479
14	0.1896743974
15	0.1827670188
16	0.1758848828
17	0.1698300019
18	0.1641702315
19	0.1597070424
20	0.1558154384
21	0.1522192775
22	0.1493184675
23	0.1464470744
24	0.1440631183
25	0.1418890282
26	0.1400772712
27	0.1382410193
28	0.1362695503
29	0.1345600376
30	0.1329990265
31	0.1316285881
32	0.1305765657
33	0.1297546591
34	0.1286721522
35	0.1275359097
36	0.126729889
37	0.1258175845
38	0.1252668303
39	0.1246113916
40	0.1238320836
41	0.1231459009
42	0.1224610334
43	0.1217835849
44	0.1213028087
45	0.1208319087
46	0.1203259763
47	0.1199069921
48	0.1193267589
49	0.1188389183
50	0.1183661568
51	0.1180718194
52	0.1176943016
53	0.1174280168
54	0.117092785
55	0.1166816911
56	0.1164895292
57	0.1161952231
58	0.1157885705
59	0.1153519718
60	0.1150711908
61	0.1145584997
62	0.1141878716
63	0.1138070998
64	0.113505205
65	0.11316567
66	0.1127214168
67	0.112207073
68	0.1119190728
69	0.1116426956
70	0.1112098701
71	0.1109571934
72	0.1106236114
73	0.1103573485
74	0.1101308258
75	0.1099794745
76	0.1096905684
77	0.1094863196
78	0.1093763829
79	0.1092225573
80	0.1090237966
81	0.1088864271
82	0.1086697944
83	0.1083940264
84	0.1080117294
85	0.1078118163
86	0.1076209839
87	0.1073563175
88	0.1072307985
89	0.1068428592
90	0.1066281952
91	0.1064988307
92	0.1061491568
93	0.1058520629
94	0.105515716
95	0.105397985
96	0.1050866824
97	0.104836266
98	0.104541354
99	0.1043964947
100	0.1040631758
101	0.103953672
102	0.1036173713
103	0.1034145677
104	0.1032191774
105	0.1029672321
106	0.1026906234
107	0.1023098606
108	0.1021424168
109	0.1018873852
110	0.1017782795
111	0.1016599427
112	0.1014392616
113	0.1013274368
114	0.1009986549
115	0.1008595799
116	0.1007321982
117	0.100574516
118	0.1003609051
119	0.1000090252
120	0.0999193992
121	0.09972780171
122	0.0995327414
123	0.09937148882
124	0.09915017467
125	0.09903815942
126	0.09891806331
127	0.09873337414
128	0.09859098014
129	0.09835477693
130	0.09818694469
131	0.0980381049
132	0.09791202364
133	0.09781340677
134	0.09759786553
135	0.0973653955
136	0.09724223393
137	0.09708626667
138	0.09699436993
139	0.09682085537
140	0.09657560321
141	0.09646008613
142	0.096279848
143	0.09616036176
144	0.09608540847
145	0.09595488216
146	0.09580294824
147	0.09569813638
148	0.09553538802
149	0.09542800309
150	0.09536541613
151	0.09520040834
152	0.0950079656
153	0.09488765942
154	0.09479150626
155	0.09462419098
156	0.09451916277
157	0.09446387915
158	0.09424635506
159	0.09414786034
160	0.09400710858
161	0.09390575128
162	0.09383745699
163	0.09383370078
164	0.0937613441
165	0.09362714869
166	0.0934900197
167	0.0933557217
168	0.09335035477
169	0.09323121517
170	0.09316134949
171	0.0930130387
172	0.09295481877
173	0.09277081497
174	0.09266628188
175	0.09248699762
176	0.09245698121
177	0.09235797528
178	0.09226371117
179	0.09207595055
180	0.09198446126
181	0.09191429274
182	0.09183482817
183	0.09171218155
184	0.09168061064
185	0.09160545828
186	0.09148110372
187	0.09134692081
188	0.09124900405
189	0.09111481273
190	0.09105603095
191	0.09094732894
192	0.09083161627
193	0.09082933463
194	0.09071792243
195	0.09060924296
196	0.09049870999
197	0.09045620502
198	0.0903278691
199	0.09022184906
200	0.09011542625
201	0.09007984931
202	0.09003982032
203	0.08997312669
204	0.08993394685
205	0.08983295498
206	0.08974444392
207	0.08972532122
208	0.08962579563
209	0.08953146312
210	0.08946851656
211	0.08938708718
212	0.08930545671
213	0.08924760475
214	0.08918388533
215	0.08913487739
216	0.08906348096
217	0.0889955833
218	0.08888028294
219	0.08881109296
220	0.08873564463
221	0.08873195937
222	0.08867985063
223	0.08861949801
224	0.08856904729
225	0.08848699267
226	0.08842451706
227	0.08838265697
228	0.08827885724
229	0.08824533434
230	0.08818799245
231	0.08814366769
232	0.08808844273
233	0.08803778772
234	0.08802153985
235	0.08795733276
236	0.08789124701
237	0.08785074719
238	0.08780398968
239	0.08776285966
240	0.08771297234
241	0.08764279397
242	0.0875832749
243	0.08753832579
244	0.08748152302
245	0.08742188387
246	0.08736177381
247	0.0872955245
248	0.08727442272
249	0.08715982434
250	0.08708731857
251	0.08699093348
252	0.08690160329
253	0.08682106348
254	0.08667014879
255	0.08663472768
256	0.08659248945
257	0.08655742782
258	0.08649165853
259	0.08638013457
260	0.08628886524
261	0.08624226731
262	0.08619357115
263	0.0860808956
264	0.0860311608
265	0.08600441882
266	0.08595410209
267	0.08591515517
268	0.08578264509
269	0.08568676911
270	0.08562255547
271	0.08556145805
272	0.08549483871
273	0.08545988915
274	0.0853656895
275	0.08529858618
276	0.08522778782
277	0.08511775902
278	0.08507552273
279	0.08500943635
280	0.084879586
281	0.08483872891
282	0.08478286055
283	0.08472192608
284	0.08465971164
285	0.08459955754
286	0.08456514154
287	0.08448288108
288	0.08444085273
289	0.08440684079
290	0.08434268584
291	0.08429968068
292	0.08425164811
293	0.08422749972
294	0.08419666251
295	0.08416664497
296	0.08410595016
297	0.08400104367
298	0.08393351349
299	0.08387731289
300	0.08383881633
301	0.08376920402
302	0.08373865313
303	0.08367543346
304	0.08363666775
305	0.08362401398
306	0.08357167605
307	0.08352153199
308	0.08345158975
309	0.0833999889
310	0.08334117007
311	0.08328722959
312	0.08323143476
313	0.08315570325
314	0.08307425637
315	0.08301059099
316	0.08296552035
317	0.08294140146
318	0.08285478654
319	0.08279868951
320	0.08275054202
321	0.08271048828
322	0.08264391581
323	0.08258065476
324	0.08251705089
325	0.08247306015
326	0.08245525799
327	0.08239028441
328	0.08235938416
329	0.08232561207
330	0.08227478475
331	0.08221589461
332	0.08217314076
333	0.08212269224
334	0.08207508046
335	0.08200831145
336	0.08192789878
337	0.08187055818
338	0.08181037709
339	0.08175725561
340	0.08173044842
341	0.08170206221
342	0.08165389269
343	0.08160642325
344	0.08153296801
345	0.08149662632
346	0.08145732855
347	0.08138177662
348	0.08134435518
349	0.08131829256
350	0.0812847732
351	0.08124167474
352	0.08119136099
353	0.08118089028
354	0.08112001805
355	0.0810705056
356	0.08103027325
357	0.08099398876
358	0.08090359165
359	0.0808584539
360	0.08081057925
361	0.08077702394
362	0.08075319514
363	0.08073808201
364	0.08070335755
365	0.08068526288
366	0.08065839779
367	0.08060626394
368	0.08056233561
369	0.08052707565
370	0.08049645968
371	0.08047364626
372	0.08042986194
373	0.08036155089
374	0.08033548965
375	0.08027817911
376	0.08024610558
377	0.08020505644
378	0.08015625365
379	0.08011553282
380	0.0800770017
381	0.0800484172
382	0.07998796451
383	0.07997063729
384	0.07992391427
385	0.07986920425
386	0.07984362728
387	0.07980680371
388	0.07977425852
389	0.07974689474
390	0.0797029836
391	0.07968757404
392	0.07966513999
393	0.07965255297
394	0.07960893857
395	0.07957991964
396	0.0795620464
397	0.07953812875
398	0.0794946782
399	0.07944863478
400	0.07941272492
401	0.07938498305
402	0.07935348759
403	0.07932085219
404	0.07929869323
405	0.07927847139
406	0.0792414718
407	0.07918815243
408	0.07915183042
409	0.07910985691
410	0.07908194409
411	0.07906403767
412	0.0790147281
413	0.07898333162
414	0.07895517575
415	0.07892908024
416	0.07887795921
417	0.07885069898
418	0.07875453704
419	0.07872790365
420	0.07868316188
421	0.07862268239
422	0.07861094087
423	0.07856364966
424	0.07854245161
425	0.07852763411
426	0.07849014473
427	0.07842536085
428	0.07838773925
429	0.0783476711
430	0.07832094231
431	0.07829892208
432	0.07827409359
433	0.07824345044
434	0.07817006309
435	0.07815460049
436	0.07813651746
437	0.07808546454
438	0.07805372184
439	0.07802256468
440	0.07798644491
441	0.07795215394
442	0.07793872334
443	0.07791304961
444	0.07787998746
445	0.07780347216
446	0.07778057456
447	0.07775399673
448	0.07770712788
449	0.07767149998
450	0.0776047036
451	0.07755715471
452	0.07750757739
453	0.07748834786
454	0.07739633707
